UserID,Timestamp,Campus,Faculty,Department,Role,EducationLevel,TransactionType,Message/Prompt,AI_Response,TokenUsed,ProcessingTime,AppUsed,Status,IsCopied,IsShared,IsSaved,Tags,Sentiment,_IsCopied,_IsShared,_IsSaved
6763957359,2026-04-20 00:30:31.656157,Bangkhen,Engineering,Computer Science,Staff,อาจารย์ / บุคลากร,Usage,I challenge strategy grow. Data Structures,AI Response: Smile discuss politics decide bar participant expect current suggest candidate professor along believe form those.,306,3.335810110784871,ChatGPT Chatflow for Education,Success,[False],[False],[False],"Data Structures, Python Programming, Algorithms",Neutral,False,False,False
6895317010,2026-04-20 01:19:29.656157,Kamphaeng Saen,Business Administration,Marketing,Student,ป.เอก,Usage,Myself former least together meet bar. Digital Marketing,AI Response: Face just performance central Democrat section third thing start new outside interest behind hundred nearly mean.,1239,5.889923449114987,ChatGPT Chatflow for Education,Success,[False],[True],[True],"Consumer Behavior, Brand Management",Negative,False,True,True
6725682834,2026-04-20 02:46:31.656157,Kamphaeng Saen,Science,Chemistry,Student,ป.โท,Usage,Probably scientist most speak. Physical Chemistry,AI Response: Marriage run opportunity education image force message call strategy.,1129,3.655864761904703,ChatGPT Chatflow for Education,Success,[True],[False],[False],"Inorganic Chemistry, Organic Chemistry",Positive,True,False,False
6673092469,2026-04-20 03:20:08.656157,Bangkhen,Science,Physics,Faculty,อาจารย์ / บุคลากร,Usage,Rest forget turn season suffer technology indeed president. Electromagnetism,AI Response: North spend three forward population future cell collection specific draw plan walk two about wrong word.,1010,0.1493066931087018,ChatGPT Chatflow for Education,Success,[False],[False],[True],"Classical Mechanics, Quantum Physics, Electromagnetism",Neutral,False,False,True
6765695105,2026-04-20 03:31:13.656157,Sriracha,Business Administration,Finance,Student,ป.ตรี,Usage,Beautiful feel member. Risk Management,AI Response: Name in amount face everybody course hospital walk western.,1582,5.316999007562933,ChatGPT Chatflow for Education,Success,[False],[False],[False],"Investment Analysis, Corporate Finance",Positive,False,False,False
6927946452,2026-04-20 04:30:36.656157,Bangkhen,Business Administration,Accounting,Student,ป.โท,Usage,Make soon whose focus oil. Managerial Accounting,AI Response: Country executive nothing little strategy government institution improve.,1553,0.5000588806206727,KIN Perplexity Chatflow,Success,[False],[False],[False],Managerial Accounting,Neutral,False,False,False
6663837845,2026-04-20 04:41:44.656157,Bangkhen,Science,Chemistry,Student,ป.เอก,Usage,Across born account bill drug player represent. Inorganic Chemistry,AI Response: Head such again if alone together stop save trial.,466,7.280234706015061,KIN Perplexity Chatflow,Success,[False],[False],[False],Physical Chemistry,Neutral,False,False,False
6730949069,2026-04-20 05:10:40.656157,Bangkhen,Engineering,Mechanical Engineering,Faculty,อาจารย์ / บุคลากร,Usage,Foreign history when professional near the phone. Thermodynamics,AI Response: Professional or message machine away say small run record positive reality speak Mrs want attack do.,1657,5.138455400759659,ChatGPT Chatflow for Education,Success,[False],[False],[False],Fluid Mechanics,Positive,False,False,False
6931800880,2026-04-20 05:30:52.656157,Bangkhen,Engineering,Civil Engineering,Student,ป.ตรี,Usage,Night return yes popular low. Geotechnical Engineering,AI Response: Finish song blue answer yourself language make both north risk strategy nothing front.,479,1.0254743996282685,ChatGPT Chatflow for Education,Success,[False],[True],[False],Geotechnical Engineering,Positive,False,True,False
6978584186,2026-04-20 05:40:17.656157,Sriracha,Business Administration,Finance,Student,ป.เอก,Usage,Crime us think late. Investment Analysis,AI Response: Activity service environmental traditional boy rock hundred include news risk.,1486,1.4954210253784812,ChatGPT Chatflow for Education,Success,[False],[True],[True],Risk Management,Negative,False,True,True
